CH_L,CH_R,,CH_L,CH_R
-0.12783,0.12783,,,
0.64828,-0.64828,,,
-0.95867,0.95867,,,
0.95868,-0.95868,,,
-0.64817,0.64817,,,
0.12786,-0.12786,,,
0.43385,-0.43385,,,
-0.85509,0.85509,,,
0.99949,-0.99949,,,
-0.82019,0.82019,,,
0.37535,-0.37535,,,
0.19118,-0.19118,,,
-0.69566,0.69566,,,
0.97491,-0.97491,,,
-0.93846,0.93846,,,
0.59813,-0.59813,,,
-0.064154,0.064154,,,
-0.49075,0.49075,,,
0.88659,-0.88659,,,
-0.99539,0.99539,,,
0.78181,-0.78181,,,
-0.31513,0.31513,,,
-0.25358,0.25358,,,
0.74031,-0.74031,,,
-0.98718,0.98718,,,
0.91444,-0.91444,,,
-0.54549,0.54549,,,
8.19E-06,-8.19E-06,,,
0.54548,-0.54548,,,
-0.91443,0.91443,,,
0.98718,-0.98718,,,
-0.74032,0.74032,,,
0.2536,-0.2536,,,
0.31511,-0.31511,,,
-0.7818,0.7818,,,
0.99539,-0.99539,,,
-0.8866,0.8866,,,
0.49076,-0.49076,,,
0.064138,-0.064138,,,
-0.59812,0.59812,,,
0.93845,-0.93845,,,
-0.97491,0.97491,,,
0.69567,-0.69567,,,
-0.1912,0.1912,,,
-0.37518,0.37518,,,
0.82018,-0.82018,,,
-0.99949,0.99949,,,
0.85519,-0.85519,,,
-0.43386,0.43386,,,
-0.12785,0.12785,,,
0.64816,-0.64816,,,
-0.95868,0.95868,,,
0.95868,-0.95868,,,
-0.64829,0.64829,,,
0.12784,-0.12784,,,
0.43386,-0.43386,,,
-0.8551,0.8551,,,
0.99948,-0.99948,,,
-0.82018,0.82018,,,
0.37533,-0.37533,,,
0.1912,-0.1912,,,
-0.69567,0.69567,,,
0.97491,-0.97491,,,
-0.93845,0.93845,,,
0.59812,-0.59812,,,
-0.064133,0.064133,,,
-0.49077,0.49077,,,
0.8866,-0.8866,,,
-0.99538,0.99538,,,
0.78179,-0.78179,,,
-0.31511,0.31511,,,
-0.2536,0.2536,,,
0.74032,-0.74032,,,
-0.98718,0.98718,,,
0.91443,-0.91443,,,
-0.54548,0.54548,,,
-1.30E-05,1.30E-05,,,
0.5455,-0.5455,,,
-0.91437,0.91437,,,
0.98718,-0.98718,,,
-0.7403,0.7403,,,
0.25375,-0.25375,,,
0.31513,-0.31513,,,
-0.78181,0.78181,,,
0.99537,-0.99537,,,
-0.88659,0.88659,,,
0.49074,-0.49074,,,
0.063985,-0.063985,,,
-0.59814,0.59814,,,
0.93846,-0.93846,,,
-0.97495,0.97495,,,
0.69566,-0.69566,,,
-0.19118,0.19118,,,
-0.3752,0.3752,,,
0.8202,-0.8202,,,
-0.99949,0.99949,,,
0.85518,-0.85518,,,
-0.43384,0.43384,,,
-0.12787,0.12787,,,
0.64818,-0.64818,,,
-0.95868,0.95868,,,
0.95867,-0.95867,,,
-0.64827,0.64827,,,
0.12782,-0.12782,,,
0.43388,-0.43388,,,
-0.85511,0.85511,,,
0.99948,-0.99948,,,
-0.82017,0.82017,,,
0.37531,-0.37531,,,
0.19122,-0.19122,,,
-0.69569,0.69569,,,
0.97492,-0.97492,,,
-0.93844,0.93844,,,
0.5981,-0.5981,,,
-0.064112,0.064112,,,
-0.49063,0.49063,,,
0.88661,-0.88661,,,
-0.99538,0.99538,,,
0.78189,-0.78189,,,
-0.31508,0.31508,,,
-0.25362,0.25362,,,
0.74022,-0.74022,,,
-0.98719,0.98719,,,
0.91442,-0.91442,,,
-0.5456,0.5456,,,
-3.42E-05,3.42E-05,,,
0.54552,-0.54552,,,
-0.91438,0.91438,,,
0.98718,-0.98718,,,
-0.74029,0.74029,,,
0.25373,-0.25373,,,
0.31515,-0.31515,,,
-0.78182,0.78182,,,
0.99537,-0.99537,,,
-0.88658,0.88658,,,
0.49072,-0.49072,,,
0.064007,-0.064007,,,
-0.59815,0.59815,,,
0.93847,-0.93847,,,
-0.97494,0.97494,,,
0.69564,-0.69564,,,
-0.19116,0.19116,,,
-0.37522,0.37522,,,
0.82021,-0.82021,,,
-0.99949,0.99949,,,
0.85517,-0.85517,,,
-0.43382,0.43382,,,
-0.12789,0.12789,,,
0.64819,-0.64819,,,
-0.95864,0.95864,,,
0.95866,-0.95866,,,
-0.64826,0.64826,,,
0.12797,-0.12797,,,
0.4339,-0.4339,,,
-0.85512,0.85512,,,
0.99949,-0.99949,,,
-0.82016,0.82016,,,
0.37529,-0.37529,,,
0.19107,-0.19107,,,
-0.6957,0.6957,,,
0.97492,-0.97492,,,
-0.9385,0.9385,,,
0.59808,-0.59808,,,
-0.06409,0.06409,,,
-0.49065,0.49065,,,
0.88662,-0.88662,,,
-0.99538,0.99538,,,
0.78188,-0.78188,,,
-0.31506,0.31506,,,
-0.25364,0.25364,,,
0.74023,-0.74023,,,
-0.98719,0.98719,,,
0.91441,-0.91441,,,
-0.54559,0.54559,,,
-5.54E-05,5.54E-05,,,
0.54553,-0.54553,,,
-0.91439,0.91439,,,
0.98717,-0.98717,,,
-0.74028,0.74028,,,
0.25371,-0.25371,,,
0.31517,-0.31517,,,
-0.78184,0.78184,,,
0.99537,-0.99537,,,
-0.88657,0.88657,,,
0.49071,-0.49071,,,
0.064028,-0.064028,,,
-0.59803,0.59803,,,
0.93847,-0.93847,,,
-0.97494,0.97494,,,
0.69575,-0.69575,,,
-0.19114,0.19114,,,
-0.37524,0.37524,,,
0.82012,-0.82012,,,
-0.99949,0.99949,,,
0.85516,-0.85516,,,
-0.43396,0.43396,,,
-0.12791,0.12791,,,
0.64821,-0.64821,,,
-0.95865,0.95865,,,
0.95866,-0.95866,,,
-0.64824,0.64824,,,
0.12795,-0.12795,,,
0.43392,-0.43392,,,
-0.85514,0.85514,,,
0.99949,-0.99949,,,
-0.82015,0.82015,,,
0.37528,-0.37528,,,
0.19109,-0.19109,,,
-0.69572,0.69572,,,
0.97493,-0.97493,,,
-0.93849,0.93849,,,
0.59806,-0.59806,,,
-0.064069,0.064069,,,
-0.49067,0.49067,,,
0.88663,-0.88663,,,
-0.99538,0.99538,,,
0.78186,-0.78186,,,
-0.31504,0.31504,,,
-0.25366,0.25366,,,
